id	persName	QID	dvp_id
dvp_064_person_0	Bryan Bliek		dvp_1092
dvp_064_person_1	[Lewis J.] “Lew” Stein		dvp_1093
dvp_064_person_2	Lew		dvp_1093
dvp_064_person_3	Sarah [Stein]		dvp_1094
dvp_064_person_4	Harry [Stein]		dvp_1095
dvp_064_person_5	John F. Kennedy	Q9696	
dvp_064_person_6	John Rassias	Q6254272	
dvp_064_person_7	Jim Miller		dvp_1096
dvp_064_person_8	Bill Clinton	Q1124	
dvp_064_person_9	Bernie Sanders	Q359442	
dvp_064_person_10	Lew		
