id	persName	QID	dvp_id
dvp_035_person_125	Dave		dvp_1101
dvp_035_person_126	Mr. Corman		dvp_1133
dvp_035_person_127	Richard		dvp_1112
dvp_035_person_128	Richard		dvp_1112
dvp_035_person_129	Charlie		dvp_1134
dvp_035_person_130	Dave		dvp_1101
dvp_035_person_131	Charlie		dvp_1134
dvp_035_person_132	Charlie		dvp_1134
dvp_035_person_133	Hillary Clinton	Q6294	
dvp_035_person_134	Donald Trump	Q22686	
dvp_035_person_135	Richard Nixon	Q9588	
dvp_035_person_136	Daniel Ellsberg	Q431085	
dvp_035_person_137	Joshua Pearl		dvp_1006
dvp_035_person_138	David Johnston		dvp_1101
dvp_035_person_139	Mr. Johnston		dvp_1101
dvp_035_person_140	David		dvp_1101
dvp_035_person_141	David Maraniss	Q5237116	
dvp_035_person_142	Paul Soglin	Q16107138	
dvp_035_person_143	Dick Cheney	Q48259	
dvp_035_person_144	David Maraniss	Q5237116	
dvp_035_person_145	Paul Soglin	Q16107138	
dvp_035_person_146	David Maraniss	Q5237116	
dvp_035_person_147	Josh		dvp_1006
dvp_035_person_148	Martin Luther King Jr.	Q8027	
dvp_035_person_149	Richard		dvp_1112
dvp_035_person_150	Dave		dvp_1101
dvp_035_person_151	Mr. Corman		dvp_1133
dvp_035_person_152	Jimmy Carter	Q23685	
dvp_035_person_153	Johnson		dvp_1101
dvp_035_person_154	Joan Baez	Q131725	
dvp_035_person_155	Tom Hayden	Q352953	
dvp_035_person_156	Joan Baez	Q131725	
dvp_035_person_157	Donald Trump	Q22686	
dvp_035_person_158	Lex		dvp_1132
dvp_035_person_159	Harold Hanson		dvp_1118
dvp_035_person_160	Dave		dvp_1101
dvp_035_person_161	John Foster Dulles	Q223677	
dvp_035_person_162	Saddam Hussein	Q1316	
dvp_035_person_163	Dwight D. Eisenhower	Q9916	
dvp_035_person_164	Joseph Stalin	Q855	
dvp_035_person_165	Fidel Castro	Q11256	
dvp_035_person_166	Hera [pronounced HEHR-uh] [Cohn-Haft]		dvp_1126
dvp_035_person_167	Athena [Capraro Cohn-Haft]		dvp_1127
dvp_035_person_168	Cohn-Haft		
dvp_035_person_169	Louis [pronounced LOU-ee] Cohn		dvp_1128
dvp_035_person_170	Goldie Haft		dvp_1129
dvp_035_person_171	Harry Cohn		dvp_1130
dvp_035_person_172	Goldie Haft-Cohn		dvp_1129
dvp_035_person_173	Louis Cohn		dvp_1128
dvp_035_person_174	Louis Cohn-Haft		dvp_1128
dvp_035_person_175	Cohn-Hafts		
dvp_035_person_176	Harry B. Greenberg	Q109369185	
dvp_035_person_177	Richard Nixon	Q9588	
dvp_035_person_178	Hubert Humphrey	Q209989	
dvp_035_person_179	George McGovern	Q331742	
dvp_035_person_180	George McGovern	Q331742	
dvp_035_person_181	George McGovern	Q331742	
dvp_035_person_182	Richard Nixon	Q9588	
dvp_035_person_183	Daniel Ellsberg	Q431085	
dvp_035_person_184	Richard Nixon	Q9588	
dvp_035_person_185	David Maraniss	Q5237116	
dvp_035_person_186	Richard Nixon	Q9588	
dvp_035_person_187	Barack Obama	Q76	
dvp_035_person_188	Sikh		
dvp_035_person_189	Ronald Reagan	Q9960	
dvp_035_person_190	Mikhail Gorbachev	Q30487	
dvp_035_person_191	Donald W. Glazer	Q109369600	
dvp_035_person_192	Alan Rottenberg	Q109367732	
dvp_035_person_193	Donald W. Glazer	Q109369600	
dvp_035_person_194	Alan Rottenberg	Q109367732	
dvp_035_person_195	Alan Rottenberg	Q109367732	
dvp_035_person_196	Zonia Moore		dvp_1124
dvp_035_person_197	Zonia		dvp_1124
dvp_035_person_198	Zonia		dvp_1124
dvp_035_person_199	[James. M.] “Jim” Lustenader [pronounced LUST-in-ah-der]		dvp_1125
dvp_035_person_200	Zonia’s		dvp_1124
dvp_035_person_201	Zonia		dvp_1124
dvp_035_person_202	Jim		dvp_1125
dvp_035_person_203	Zonia		dvp_1124
dvp_035_person_204	[Richard P.] “Rich” Ryerson [Jr., Class of 1980]		dvp_1123
dvp_035_person_205	David		dvp_1101
